id;event_id;started;ended;note
1;Sports;2020-10-22T16:05:35;2020-10-22T17:16:48;hacking
2;protocol Arizona;2020-10-22T15:48:11;2020-10-22T07:02:17;Euro Saint Pierre and Miquelon International
3;empower;2020-10-22T08:23:10;2020-10-22T14:56:58;navigate Ameliorated Kip
4;repurpose Representative;2020-10-22T08:37:34;2020-10-22T12:13:49;end-to-end array
5;encryption;2020-10-22T07:52:31;2020-10-22T23:31:35;white Handcrafted Granite Shirt Metal
6;Cotton functionalities Quality;2020-10-23T02:53:49;2020-10-22T14:10:49;recontextualize Fresh backing up
7;leading-edge Yuan Renminbi e-services;2020-10-22T19:33:25;2020-10-22T07:11:27;US Dollar Port
8;hack Refined Granite Bike;2020-10-22T04:19:50;2020-10-23T02:46:28;superstructure system Communications
9;ivory Ball;2020-10-23T02:29:29;2020-10-22T11:58:35;Home Loan Account Response
10;Investment Account Tasty Wooden Pizza;2020-10-22T08:07:06;2020-10-22T13:45:30;Metal panel content-based
