id;code;description;area;facility_type
1;Cambridgeshire;California Tasty Plastic Cheese Rubber;25943;BUILDING
2;Gorgeous Granite Mouse;Quetzal Corner Configurable;24522;PLANT
3;Bacon;Operations;34059;WAREHOUSE
4;Handcrafted web-enabled;microchip;24530;BUILDING
5;Cambridgeshire Awesome USB;circuit;14883;OFFICE
6;artificial intelligence;infrastructure Identity;82837;FIELD
7;auxiliary;Small Garden Investor;60752;WAREHOUSE
8;East Caribbean Dollar;Direct;10988;BUILDING
9;invoice synergize Silver;projection;35146;BUILDING
10;open-source Computers Gorgeous;data-warehouse;14087;WAREHOUSE
