id;party_relationship_type;from_date;thru_date;name;description;priority_type
1;EMPLOYMENT;2020-10-23;2020-10-22;black JSON International;system Slovakia (Slovak Republic) world-class;LOW
2;CONTACT;2020-10-23;2020-10-22;Kids withdrawal;New Leu Interactions Israel;MEDIUM
3;CUSTOMER;2020-10-23;2020-10-22;Swaziland;Optimization;HIGH
4;CONTACT;2020-10-22;2020-10-23;Cheese;bus;LOW
5;CUSTOMER;2020-10-22;2020-10-23;generating Sleek Frozen Table Officer;Officer District benchmark;HIGH
6;PURCHASE;2020-10-22;2020-10-22;6th generation;synthesize payment;MEDIUM
7;PARTNERSHIP;2020-10-22;2020-10-23;Pants;Bike;HIGH
8;CUSTOMER;2020-10-22;2020-10-23;Chief Riel Functionality;payment;LOW
9;DISTRCHANNEL;2020-10-22;2020-10-22;Northern Mariana Islands;Home Loan Account Bacon invoice;MEDIUM
10;SALES;2020-10-22;2020-10-22;Borders bypass Personal Loan Account;payment Bedfordshire;HIGH
