id;code;name;description;scheduled_start;scheduled_completion;total_money_allowed;total_hours_allowed;estimated_hours;work_effort_type
1;Surinam Dollar transitional Specialist;Intranet Borders;Quality;2020-10-23;2020-10-22;57875;47602;94518;PROJECT
2;mint green Officer Cotton;Kuwaiti Dinar Diverse;Unbranded;2020-10-23;2020-10-22;42058;8948;4714;PROGRAM
3;Human monitoring Mouse;revolutionize Djibouti Franc;Sports synthesize recontextualize;2020-10-23;2020-10-22;35402;12352;99159;PROJECT
4;port knowledge base;cyan syndicate;index;2020-10-22;2020-10-23;57621;9688;16952;TASK
5;Incredible;Concrete Chips;Quality-focused Small Fresh Towels Practical;2020-10-22;2020-10-22;73841;58581;50681;ACTIVITY
6;Hat European Monetary Unit (E.M.U.-6);SQL national;interface tan;2020-10-22;2020-10-22;55613;57794;27381;PROGRAM
7;payment;payment bandwidth;Granite Avon;2020-10-22;2020-10-22;63766;67753;4767;PROGRAM
8;quantifying Towels Organic;Unbranded Concrete Pants Rubber bleeding-edge;Investment Account lime deposit;2020-10-22;2020-10-22;69652;44816;98444;ACTIVITY
9;hack Mobility;Books haptic;Washington;2020-10-22;2020-10-22;17864;39733;55461;PHASE
10;Operations Italy;access Fresh;Minnesota;2020-10-22;2020-10-22;52523;91759;41831;PHASE
